"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
7 1 50 151 251 6.37999076489268 2.17764317618689e-16 FALSE ""
7 1.5 500 138 252 7.04599499931063 1.2409378971783 FALSE ""
3 1.5 300 61 253 3.06999499944825 1.09603520867062 FALSE ""
7 1.5 50 193 254 7.77999498405759 2.11891003242161 FALSE ""
3 0.5 900 7 255 3.0777727778643 0.645523655582309 FALSE ""
7 1 50 112 256 7.37999501277916 1.75014025454223 FALSE ""
3 1.5 800 198 257 3.0799949873507 1.672611875041 FALSE ""
3 1 1000 197 258 2.94499500020833 1.03240272478661 FALSE ""
7 1.5 50 115 259 6.95999499896726 1.23640635132391 FALSE ""
7 1 100 139 260 6.99999499878183 1.25470849314795 FALSE ""
3 1 400 46 261 3.00999499725955 0.676686960323576 FALSE ""
7 1 50 181 262 7.47999508353804 0.423331459502471 FALSE ""
7 1 500 18 263 6.99399500641961 1.19045467850714 FALSE ""
7 0.5 900 14 264 7.02110611894569 0.22744551611745 FALSE ""
3 1.5 100 4 265 3.07999497289103 1.70747568027827 FALSE ""
3 1.5 900 96 266 3.05888389378948 1.90130380713597 FALSE ""
3 1.5 200 32 267 3.08999500057554 1.30727751382563 FALSE ""
7 1 100 89 268 7.21999499382315 4.49839785268695 FALSE ""
7 1 1000 174 269 7.10599500411028 0.44698641779341 FALSE ""
3 1 300 73 270 2.93332833232628 1.12081776441044 FALSE ""
3 1.5 50 145 271 3.33999486994348 0.0580074533760659 FALSE ""
3 1 50 13 272 2.93999501166209 1.57085688300472 FALSE ""
7 1.5 500 1 273 7.13999499974718 1.58219849263442 FALSE ""
7 1.5 1000 36 274 7.12299499748955 1.67302784198623 FALSE ""
3 0.5 900 44 275 2.94332833406217 0.442110847652839 FALSE ""
7 1.5 700 176 276 7.1657092914644 1.12246788593235 FALSE ""
3 1.5 1000 164 277 3.01599498175021 1.71364371518062 FALSE ""
3 1 300 174 278 2.83999500139194 1.01006106700505 FALSE ""
7 1 1000 76 279 6.96199499982515 0.76108827331008 FALSE ""
7 1 100 159 280 7.36999499861246 0.244240345629873 FALSE ""
7 1 50 91 281 7.1799951390197 1.99692671295873 FALSE ""
3 1 700 77 282 3.05285213055705 0.641594832490887 FALSE ""
3 1 400 33 283 3.12249502895152 1.29228783527148 FALSE ""
7 1.5 50 75 284 7.27999500981134 1.39323731359281 FALSE ""
7 0.5 700 113 285 7.10570931273328 0.695716328850647 FALSE ""
3 1 100 22 286 3.34999501565472 0.601851481508232 FALSE ""
7 1 300 93 287 6.80666163476122 1.00596365753595 FALSE ""
7 0.5 500 76 288 6.77199499962965 1.12909411404158 FALSE ""
7 0.5 600 161 289 7.08499499465293 0.491471132760764 FALSE ""
7 1 900 99 290 7.02999501977462 0.63658127164296 FALSE ""
7 1 600 192 291 7.06499499935503 0.85408806597284 FALSE ""
7 0.5 200 34 292 6.92999499714017 6.84248953808745e-11 FALSE ""
3 1 1000 7 293 2.98499499973852 0.951787328320319 FALSE ""
3 1.5 100 11 294 3.09999506126463 2.14092212501352 FALSE ""
